Ticker,sector,recommendationKey,targetMeanPrice,targetMedianPrice,targetHighPrice,targetLowPrice,fiftyDayAverage,twoHundredDayAverage,forwardPE,trailingPE,enterpriseToEbitda,returnOnAssets,returnOnEquity,grossMargins,ebitdaMargins,profitMargins,date
TSCO,Consumer Cyclical,buy,58.30724,60.0,67.0,45.91,55.28696,54.97277,22.388123,26.490196,5.881,0.097729996,0.5058,0.36291,0.12958,0.07534,2025-02-04
D,Utilities,hold,58.54562,59.0,66.0,50.0,55.1726,54.5952,15.929151,19.911438,12.788,0.02589,0.085030004,0.48743,0.48187,0.16946,2025-02-04
ALGN,Healthcare,buy,263.09286,275.0,300.0,206.0,223.4502,238.8387,21.027452,36.584328,18.53,0.06696,0.11401,0.7032,0.20708,0.111490004,2025-02-04
XEL,Utilities,buy,72.535,72.78,79.0,62.0,68.0176,61.31035,17.608517,19.976261,12.199,0.02564,0.10262,0.45433,0.40035,0.13667,2025-02-04
PAYX,Technology,hold,139.47333,140.0,150.0,120.0,142.808,132.30756,28.143057,31.40966,20.462,0.120349996,0.45672,0.71773005,0.44415,0.31983998,2025-02-04
HLT,Consumer Cyclical,buy,246.64923,249.0,296.0,193.88,249.9972,225.75604,32.325165,55.16844,29.668,0.09082,,0.76038,0.52332,0.25069,2025-02-04
CSGP,Real Estate,buy,89.36286,89.0,103.0,76.0,74.8778,77.30495,68.985176,184.42857,162.379,0.0023700001,0.02386,0.79231,0.06386,0.06577,2025-02-04
VRSK,Industrials,buy,290.33334,298.0,325.0,230.0,282.064,268.4448,39.562027,44.560867,32.2,0.16983,2.65609,0.68236,0.48277,0.32650003,2025-02-04
RSG,Industrials,buy,224.2695,225.5,244.0,159.0,210.3784,200.8818,32.269886,35.022366,17.067,0.063260004,0.18284,0.4234,0.30376,0.12458,2025-02-04
IQV,Healthcare,buy,247.69043,250.0,273.0,200.0,200.1004,221.338,16.834316,26.286465,17.113,0.051149998,0.22001,0.35175,0.18459,0.09174,2025-02-04
ALL,Financial Services,buy,223.76471,227.0,279.0,138.0,194.2502,181.1359,10.089647,12.338073,8.571,0.03271,0.23783001,0.22216,0.0992,0.067719996,2025-02-04
ORLY,Consumer Cyclical,buy,1309.7546,1375.0,1500.0,870.0,1234.7625,1130.1786,29.616753,33.0245,22.676,0.14369,,0.51207,0.2241,0.14522,2025-02-04
ED,Utilities,hold,97.93333,97.0,116.0,85.0,92.975,96.57195,16.848537,17.840225,10.677,0.03222,0.08582,0.53290004,0.36964,0.12267999,2025-02-04
HES,Energy,buy,168.2857,163.5,199.0,151.0,141.2784,143.23434,13.021254,15.899778,7.584,0.115150005,0.2885,0.77108,0.56046003,0.21183,2025-02-04
PPG,Basic Materials,buy,136.78783,135.0,166.0,120.0,121.1052,126.2652,12.5738325,19.452797,12.059,0.06677,0.19149,0.42723,0.15918,0.08242,2025-02-04
STT,Financial Services,buy,109.75,105.0,138.0,84.0,98.321,85.9637,9.1336155,11.982947,,0.00679,0.0855,,,0.16847,2025-02-04
YUM,Consumer Cyclical,hold,142.03375,140.0,162.0,130.0,132.6808,134.3657,22.00449,24.573832,18.486,0.24328,,0.48595002,0.36106998,0.21127,2025-02-04
AME,Industrials,buy,200.27562,204.0,225.0,158.0,186.3462,174.42114,22.865902,31.445993,20.928,0.078940004,0.14886,0.35406,0.30944002,0.19271,2025-02-04
PEG,Utilities,buy,88.47765,89.0,102.0,68.0,87.1794,81.24785,20.77604,20.4914,15.686,0.03243,0.13,0.36174,0.38782,0.19482,2025-02-04
CTVA,Basic Materials,buy,67.09091,68.5,74.0,57.0,60.2882,56.81145,20.607368,68.4375,16.131,0.026129998,0.02704,0.43277,0.18115999,0.04177,2025-02-04
ZBH,Healthcare,hold,124.81231,121.5,150.0,105.0,108.1532,110.0806,12.602733,20.611855,10.796,0.0461,0.08713,0.71895,0.3367,0.14265001,2025-02-04
VMC,Basic Materials,buy,294.05682,301.25,349.0,169.0,272.1294,258.9608,30.099535,42.510937,19.794,0.05888,0.11133,0.26149,0.2684,0.114300005,2025-02-04
TT,Industrials,hold,415.04428,410.0,500.0,244.0,391.0742,360.2352,24.869127,31.293135,23.102,0.10542,0.35146,0.35284,0.19038,0.12729,2025-02-04
FITB,Financial Services,buy,50.78571,51.0,57.0,40.0,44.7052,41.3337,10.721155,13.971336,,0.01041,0.119160004,,,0.27583,2025-02-04
MSI,Technology,none,514.021,517.5,600.0,460.0,474.1458,426.8248,32.030106,51.573303,26.742,0.13376,1.82528,0.50905997,0.29582,0.1466,2025-02-04
A,,buy,151.9375,153.0,165.0,135.0,140.0288,138.34325,26.024776,33.19187,,,,,,,2025-02-04
AVB,Real Estate,buy,238.19048,238.0,270.0,220.0,222.5188,214.04355,40.48156,30.198359,21.726,0.02874,0.08808,0.64382005,0.61792,0.35606998,2025-02-04
KEYS,Technology,buy,180.42667,180.0,200.0,157.0,167.2302,151.4102,21.80021,50.133904,22.582,0.0644,0.18031,0.63462,0.23726,0.18249,2025-02-04
LYB,Basic Materials,hold,86.71952,84.0,115.0,74.0,76.98,90.6005,9.2349205,11.872534,7.924,0.0506,0.1586,0.117910005,0.10853,0.052729998,2025-02-04
KMI,Energy,buy,29.585,30.0,38.13,22.0,27.9562,23.01295,20.413315,23.504274,15.499,0.03848,0.083500005,0.51152,0.43357,0.16765,2025-02-04
OTIS,Industrials,hold,99.47467,100.0,117.0,79.0,96.3144,96.94705,20.856295,23.201473,18.005,0.14079,,0.30001,0.17647,0.11481,2025-02-04
ANET,Technology,buy,112.49531,115.0,145.0,75.0,110.7069,92.0799,45.541164,53.74163,9.797,0.15884,0.33833998,0.6441,0.42844,0.40293998,2025-02-04
DLTR,Consumer Defensive,none,84.1336,80.0,105.0,70.0,71.937,88.2339,12.236147,,9.909,0.04566,-0.12983,0.31059998,0.08411,-0.0344,2025-02-04
NEM,Basic Materials,buy,52.91444,54.0,71.26,45.0,40.6098,45.34385,11.361342,,9.249,0.041279998,-0.05159,0.38577,0.35374,-0.07141,2025-02-04
KR,Consumer Defensive,buy,65.81364,66.5,75.0,55.0,60.3464,55.8128,13.438748,16.925926,7.89,0.059609998,0.24285999,0.23159,0.05371,0.018609999,2025-02-04
FAST,Industrials,hold,75.71,76.0,85.0,54.0,76.8916,71.2161,31.138985,36.595,25.437,0.2034,0.32698002,0.45228,0.22636,0.15439999,2025-02-04
FE,Utilities,buy,46.21467,47.0,52.0,42.0,40.2868,40.95005,13.848399,25.774195,12.126,0.02707,0.083050005,0.69774,0.29599002,0.06729,2025-02-04
EXPE,Consumer Cyclical,buy,192.14441,190.0,236.0,148.0,182.531,147.28,11.969458,21.9362,14.331,0.041589998,0.38564998,0.89189005,0.12842,0.07966,2025-02-04
SBRA,Real Estate,buy,19.75,20.0,21.0,17.0,17.4278,16.66365,23.384615,40.780487,15.725,0.02826,0.03462,0.68337995,0.59624,0.14222999,2025-02-04
EFX,Industrials,buy,305.3216,300.0,357.0,271.0,260.7794,263.5231,30.508745,59.414253,22.56,0.05224,0.11927,0.55526,0.3038,0.100659996,2025-02-04
DVN,Energy,buy,49.04133,47.5,67.0,42.0,35.1478,42.3777,7.0818233,6.3740735,4.067,0.10674,0.26279,0.53534,0.52461,0.23429,2025-02-04
HOLX,Healthcare,buy,84.46938,85.0,95.0,70.0,73.7398,77.0759,15.376652,21.560242,14.419,0.06446,0.13846,0.60578,0.31164,0.17592,2025-02-04
MKC,Consumer Defensive,buy,82.58188,82.695,96.0,67.0,76.8436,76.363,23.0943,26.328766,18.979,0.05164,0.15067,0.38483003,0.19018999,0.11868,2025-02-04
WDC,Technology,buy,82.95,81.0,100.0,52.0,65.7484,68.28475,9.047034,18.442196,,0.04044,0.033239998,0.3045,0.14873,0.02648,2025-02-04
CMS,Utilities,buy,71.85588,73.0,78.0,59.0,67.1362,65.526,18.45809,18.908571,13.279,0.030450001,0.11501,0.42334998,0.36637002,0.14005,2025-02-04
HIG,Financial Services,buy,128.4706,125.0,144.0,115.0,113.3692,109.43535,8.745606,10.818357,7.905,0.03165,0.19740999,0.35006002,0.16309,0.11612,2025-02-04
AEE,Utilities,buy,94.35533,95.0,106.0,81.0,91.4704,82.4945,19.325811,22.468235,13.492,0.02856,0.09838,0.51148,0.46245,0.16053,2025-02-04
NTRS,Financial Services,hold,116.63333,116.0,136.0,101.0,106.6378,93.2055,12.786734,11.400204,,0.01118,0.13732,,,0.21493,2025-02-04
NTAP,Technology,none,138.88235,140.0,160.0,116.0,121.552,120.72425,15.39719,22.318933,16.16,0.09156,1.2042199,0.71115,0.24808,0.17014,2025-02-04
FLT,,,,,,,,,,,,,,,,,2025-02-04
CBRE,Real Estate,buy,151.63635,152.0,179.0,112.0,135.19,113.41625,23.83299,46.55987,22.457,0.04146,0.11434,0.19660999,0.06451,0.02792,2025-02-04
TSN,Consumer Defensive,buy,67.08615,65.0,80.0,58.0,59.2322,59.6828,14.065776,19.260134,9.0,0.030250002,0.044710003,0.07417,0.05898,0.01501,2025-02-04
GPC,Consumer Cyclical,buy,133.72726,132.0,155.0,120.0,119.8956,134.74374,13.827753,15.144329,10.24,0.056009997,0.24416,0.3642,0.088190004,0.046690002,2025-02-04
CLX,Consumer Defensive,hold,164.289,165.5,189.0,138.0,163.169,151.5644,20.342367,40.384197,16.446,0.12546,2.08451,0.44557998,0.18356001,0.0478,2025-02-04
BKR,Energy,buy,50.92731,53.5,57.0,34.0,43.2,37.1557,16.111153,16.09396,10.989,0.05432,0.14292,0.21094999,0.15886,0.082049996,2025-02-04
ZION,Financial Services,hold,63.22222,63.0,71.0,52.0,57.2264,49.42585,10.181253,11.529293,,0.00796,0.11863,,,0.23056,2025-02-04
RF,Financial Services,buy,27.625,28.0,32.0,23.0,24.893,22.35525,9.844174,12.621762,,0.01125,0.10042,,,0.26693,2025-02-04
LNC,Financial Services,hold,36.18182,36.0,43.0,28.0,33.1816,31.83335,4.3930907,23.55944,30.011,-0.00145,0.05781,-0.059580002,-0.06323,0.02606,2025-02-04
LH,Healthcare,buy,262.24234,270.0,291.0,231.0,236.5788,220.4903,15.430309,46.7178,16.137,0.03964,0.05432,0.27921,0.13164,0.03426,2025-02-04
PKI,,,,,,,,,,,,,,,,,2025-02-04
HPE,Technology,buy,24.48333,25.0,29.0,19.0,22.054,19.9713,9.120564,10.792747,7.527,0.02484,0.086660005,0.33877,0.16916001,0.06392,2025-02-04
UAL,Industrials,strong_buy,129.93,130.0,165.0,39.0,100.293,66.1206,7.309364,11.499471,7.422,0.041139998,0.27245,0.33286,0.13364,0.04936,2025-02-04
CAG,Consumer Defensive,hold,29.36833,29.0,33.0,26.0,26.9334,29.29505,9.715106,24.300972,9.693,0.0531,0.05605,0.2739,0.18753,0.041389998,2025-02-04
NDAQ,Financial Services,buy,88.0,89.0,103.0,64.0,79.712,70.27495,22.640318,42.341972,22.577,0.043870002,0.10888,0.64685994,0.35799,0.13667,2025-02-04
VTRS,Healthcare,hold,13.325,14.0,15.0,11.0,12.2606,11.6163,4.1594734,,5.918,0.024820002,-0.043449998,0.42025003,0.30479,-0.0587,2025-02-04
BBY,Consumer Cyclical,buy,97.80739,100.0,117.0,80.0,86.443,87.15455,12.854948,14.563356,8.41,0.07219,0.4241,0.22294001,0.06286,0.02962,2025-02-04
LUV,Industrials,hold,32.33524,32.0,42.0,24.0,32.8254,29.56085,12.692982,40.51316,11.115,0.00458,-0.00447,0.21691,0.061440002,-0.0017499999,2025-02-04
LB,Energy,buy,73.125,79.0,85.0,36.0,68.1076,50.1824,36.48539,,-83.288,-0.03793,-0.00086000003,0.97686994,-0.22489001,0.05696,2025-02-04
MRO,,,,,,,,,,,,,,,,,2025-02-04
ALLE,Industrials,none,143.74727,150.0,165.0,110.0,134.8374,132.3712,16.584276,19.767693,14.487,0.10704,0.40822,0.43960997,0.23856,0.15359999,2025-02-04
KEY,Financial Services,buy,20.96667,20.0,43.0,18.0,17.9862,16.32965,10.347372,,,0.00077,0.0096700005,,,0.0305,2025-02-04
NWL,Consumer Defensive,hold,11.09091,10.5,17.0,8.0,10.1018,8.15745,12.998336,,9.836,0.03014,-0.08286,0.33312,0.120120004,-0.03217,2025-02-04
APA,Energy,hold,30.53517,27.0,49.0,22.0,22.7336,26.6134,5.8538547,3.1803977,3.05,0.07833,0.6186,0.69949996,0.5636,0.24824,2025-02-04
NOV,Energy,buy,18.91667,19.0,24.0,12.0,15.069,16.9417,9.814282,5.4,6.36,0.04277,0.17694001,0.21258,0.12409,0.12049,2025-02-04
FFIV,Technology,hold,304.55,302.5,360.0,260.0,260.0042,210.4978,19.273584,29.858566,18.937,0.0777,0.19117,0.80212,0.27772,0.20126,2025-02-04
DVA,Healthcare,hold,159.48222,164.0,186.0,134.0,160.414,150.17026,15.498694,19.110992,10.331,0.06944,0.44884,0.32804,0.20982,0.06534,2025-02-04
FMC,Basic Materials,buy,69.06222,65.06,110.0,55.0,54.1142,59.1208,10.339616,4.433142,15.174,0.028269999,0.38454,0.37427,0.16874,0.34931,2025-02-04
MOS,Basic Materials,hold,32.45368,32.0,44.0,25.0,26.1052,27.5577,12.074648,24.964602,6.668,0.02177,0.03346,0.15446,0.16656,0.0324,2025-02-04
INCY,Healthcare,buy,79.755,79.5,100.0,52.0,71.7844,65.3602,12.2392025,823.55554,154.897,-0.00124,0.00802,0.29327,0.01975,0.00797,2025-02-04
QRVO,Technology,hold,92.96045,90.0,128.0,69.0,73.677,96.62165,14.428786,292.4643,13.331,0.034059998,-0.03908,0.39294997,0.1705,-0.03577,2025-02-04
UHS,Healthcare,buy,237.54333,234.15,274.0,197.0,188.63,199.1945,10.607123,12.817033,8.315,0.06822,0.16341,0.41716,0.13777,0.06655,2025-02-04
JNPR,Technology,hold,39.7,40.0,40.0,37.0,37.117,37.247,17.940538,46.907898,24.145,0.02182,0.055760004,0.58598,0.099020004,0.0497,2025-02-04
AIZ,Financial Services,buy,228.0,225.0,240.0,212.0,215.364,190.83916,11.759978,15.157143,8.728,0.01873,0.15215,0.106809996,0.10564,0.06307,2025-02-04
NRG,Utilities,buy,105.443,106.215,140.0,43.0,98.1452,85.90095,13.945131,25.163368,14.252,0.01903,0.31931,0.15979,0.077989995,0.03428,2025-02-04
